RowID,Exp,Time[day],Z:FeedStart,Z:FeedEnd,Z:FeedRateGlc,Z:FeedRateGln,Z:phStart,Z:phEnd,Z:phShift,Z:tempStart,Z:tempEnd,Z:tempShift,Z:Stir,Z:DO,Z:ExpDuration,W:temp,W:pH,W:FeedGlc,W:FeedGln,X:VCD,X:Glc,X:Gln,X:Amm,X:Lac,X:Lysed
0,Exp 1,0,2,10,5.656565657,6.818181818,6.808080808,6.47979798,9,37.28282828,35.07070707,13,224.2424242,43.38383838,10,37.28282828,6.808080808,0,0,1.682643906,2.853045014,6.005418096,0.1,0.1,0
1,Exp 1,1,,,,,,,,,,,,,,37.28282828,6.808080808,0,0,3.617720878,2.290198509,3.598474511,0.324724121,1.348831424,0.002831096
2,Exp 1,2,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,6.431878647,0.752652131,0.481755812,0.687781297,3.065268241,0.000883651
3,Exp 1,3,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,10.27905689,4.276583494,2.516062005,0.972870842,4.196026669,0
4,Exp 1,4,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,14.88896528,7.350099879,3.471558382,1.322926891,4.84531018,0.000218394
5,Exp 1,5,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,20.38103208,9.334739765,2.276477184,2.076308714,5.821097654,0.019369326
6,Exp 1,6,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,25.0909401,11.27994351,0,2.60222459,5.316202598,0.031804664
7,Exp 1,7,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,29.90488883,12.30731437,0.215090913,3.061759652,4.738686645,0.053997004
8,Exp 1,8,,,,,,,,,,,,,,37.28282828,6.808080808,5.656565657,6.818181818,33.14127844,13.22228907,0,3.422662881,4.656296366,0.105815399
9,Exp 1,9,,,,,,,,,,,,,,37.28282828,6.47979798,5.656565657,6.818181818,35.73271222,14.4832133,0.054896996,4.041571398,4.504411626,0.154412981
10,Exp 1,10,,,,,,,,,,,,,,37.28282828,6.47979798,0,0,36.98818413,14.65789638,0.073529303,4.063493261,4.828034561,0.282538448
11,Exp 2,0,1,12,5.696969697,6.97979798,6.606060606,6.207070707,8,37.12121212,35.5959596,10,155.5555556,67.12121212,10,37.12121212,6.606060606,0,0,1.714640025,4.514751054,4.870448799,0.1,0.1,0
12,Exp 2,1,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,3.001574324,3.78318952,3.096065819,0.163976102,1.612477714,0
13,Exp 2,2,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,4.726489542,8.649032611,7.99456757,0.412594037,2.484434936,0
14,Exp 2,3,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,6.752777303,12.36023455,11.5939522,1.341967764,4.319551087,0
15,Exp 2,4,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,9.071929505,17.60162891,15.57298365,1.772806994,5.940847722,0
16,Exp 2,5,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,10.33501332,22.03445327,18.39253963,2.567668303,6.438304199,0.009807344
17,Exp 2,6,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,11.24583822,26.66445789,21.88810371,3.350407982,6.800651111,0.004707541
18,Exp 2,7,,,,,,,,,,,,,,37.12121212,6.606060606,5.696969697,6.97979798,11.11180037,29.24381266,25.39667549,4.127112114,6.929484908,0.047470154
19,Exp 2,8,,,,,,,,,,,,,,37.12121212,6.207070707,5.696969697,6.97979798,9.653865673,35.23878932,29.10077293,4.998193189,6.909808951,0.066803524
20,Exp 2,9,,,,,,,,,,,,,,37.12121212,6.207070707,5.696969697,6.97979798,6.394409222,38.0045236,34.21861281,6.175073484,7.28265583,0.148800072
21,Exp 2,10,,,,,,,,,,,,,,35.5959596,6.207070707,5.696969697,6.97979798,3.199769159,44.01131026,38.98853927,6.847133207,7.120990977,0.230921005
22,Exp 3,0,3,11,3.03030303,7.242424242,6.585858586,6.803030303,8,37.56565657,35.81818182,8,163.6363636,64.5959596,9,37.56565657,6.585858586,0,0,1.834671303,4.889570532,4.610886969,0.1,0.1,0
23,Exp 3,1,,,,,,,,,,,,,,37.56565657,6.585858586,0,0,2.870877106,4.770829011,3.164910797,0.18624061,0.993644633,4.1994E-05
24,Exp 3,2,,,,,,,,,,,,,,37.56565657,6.585858586,0,0,4.380109844,4.821497342,1.526508216,0.355881675,1.938285596,0.017104824
25,Exp 3,3,,,,,,,,,,,,,,37.56565657,6.585858586,3.03030303,7.242424242,5.464630125,3.057863959,0.09001385,0.763826798,2.497361632,0.001462205
26,Exp 3,4,,,,,,,,,,,,,,37.56565657,6.585858586,3.03030303,7.242424242,7.513257035,5.082112531,4.76252335,0.804762969,3.402486903,0
27,Exp 3,5,,,,,,,,,,,,,,37.56565657,6.585858586,3.03030303,7.242424242,9.748015273,5.711162102,8.606464145,1.352343426,3.876949285,0.003975358
28,Exp 3,6,,,,,,,,,,,,,,37.56565657,6.585858586,3.03030303,7.242424242,11.59455789,7.343602116,12.32527006,1.736399477,4.377361537,0
29,Exp 3,7,,,,,,,,,,,,,,37.56565657,6.585858586,3.03030303,7.242424242,13.13292706,8.332359563,15.61743803,2.481586592,4.451493435,0.015582269
30,Exp 3,8,,,,,,,,,,,,,,35.81818182,6.803030303,3.03030303,7.242424242,14.8519115,8.844544429,17.51317681,3.119270031,5.730804944,0.044257313
31,Exp 3,9,,,,,,,,,,,,,,35.81818182,6.803030303,3.03030303,7.242424242,18.87832478,9.393444096,17.70842787,4.178717727,5.566269562,0.039229971
32,Exp 4,0,2,12,4.484848485,6.838383838,6.717171717,6.651515152,12,37.78787879,35.53535354,12,194.9494949,63.08080808,9,37.78787879,6.717171717,0,0,1.183589731,3.299447716,4.402712612,0.1,0.1,0
33,Exp 4,1,,,,,,,,,,,,,,37.78787879,6.717171717,0,0,2.041450331,2.331432576,3.355777183,0.235780942,1.035492581,0
34,Exp 4,2,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,3.378927275,1.938832779,1.817943426,0.190384005,1.640767788,0.006186287
35,Exp 4,3,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,5.044665811,6.570672487,6.324309651,0.864875134,2.757735274,0.000696431
36,Exp 4,4,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,6.781603397,9.381372087,10.70600002,1.036230393,3.746898771,0.005282624
37,Exp 4,5,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,8.49200255,11.99769767,14.48855342,1.947303342,4.449322263,0
38,Exp 4,6,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,10.57495414,14.857888,16.90165067,2.484799703,5.4511318,0
39,Exp 4,7,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,11.18888871,18.31811225,21.0683398,3.131689144,5.526154173,0.021760569
40,Exp 4,8,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,11.2959456,19.19442295,24.36859008,4.116702696,5.911828299,0.037079059
41,Exp 4,9,,,,,,,,,,,,,,37.78787879,6.717171717,4.484848485,6.838383838,10.80709041,23.47379809,28.32091647,4.73539144,6.797757298,0.089674643
42,Exp 5,0,3,11,5.090909091,6.232323232,7.424242424,6.46969697,13,36.97979798,35.85858586,8,222.2222222,38.33333333,8,36.97979798,7.424242424,0,0,1.908390429,4.597131147,4.775470833,0.1,0.1,0
43,Exp 5,1,,,,,,,,,,,,,,36.97979798,7.424242424,0,0,4.078802742,3.44255744,2.034109366,0.3594923,2.092941193,0.009261681
